Name,Status,Last,Series,URL,URL_yd,Описание
Очередной финал,В планах,0,12,https://doramatv.live/ocherednoi_final,,"Чхан Ин Ён бросили после 8 лет отношений, поэтому больше она не ищет серьезных отношений. И уж тем более ей не нужен брак. Но каким-то образом она договорилась вступить в фиктивный брак с До Юн Су, чтобы получить государственную помощь для молодоженов. Чем обернется это решение для них и их окружения?"
Пока светит солнце,В планах,0,19,https://doramatv.live/poka_svetit_solnce,,"Пэн (Ванфамай) переехала в дом семьи Артита после смерти своих родителей и влюбилась в парня. Несмотря на решение их отцов поженить детей, Артит был против брака. Из-за лжи Пэн он сбежал из дома и попал в аварию. Он выжил, но возненавидел девушку.
Они встретились спустя несколько лет, но их отношения никак не улучшились. Артит переполнен ненавистью и желанием отомстить, а Пэн хочет любой ценой получить его прощение."
Профессиональная жена,В планах,0,19,https://doramatv.live/professionalnaia_jena,,"""План"" - агентство по воспитанию идеальных жён под руководством мистера Роберта. Чоллада - девушка из семьи среднего достатка, не по своей воле работающая в ""Плане"". Мистер Роберт считает, что Чоллада станет идеальной женой для Касидита, и пытается их свести. Думая, что все встречи с героиней были чистой случайностью, Касидит сам того не понимая попадает в ловушку и по-настоящему влюбляется. Он не уверен в чувствах, которые к нему испытывает Чоллада. Что это: любовь или продуманная игра ""Плана""?"
Путь любви городской пары: Мой милый похититель фотоаппаратов,В планах,0,17,https://doramatv.live/put_liubvi_gorodskoi_pary__moi_milyi_pohititel_fotoapparatov_2020,,"Дорама об отношениях между молодыми людьми, которые борются за выживание в беспокойном городе.
Пак Чэ Вон (Чжи Чан Ук) – честный и чрезмерно увлеченный архитектор, любящий городские улицы. Женщина, которую он называет «воришка камеры», однажды летней ночью крадет его сердце, а затем исчезает, с чем он не может справиться.
Ли Ы Но (Ким Чжи Вон) – внештатный маркетолог, которая, находясь в незнакомом месте, спонтанно решает выдать себя за вымышленную личность. Она случайно влюбляется в Пак Чэ Вона, изображая свободолюбивую Юн Со Ну.
Чхве Кён Джун (Ким Мин Сок) – архитектор и циничный реалист. Несмотря на то, что он считает себя пассивным наблюдателем и редко сердится, Чхве Кён Джун отказывается стоять в стороне и наблюдать, когда другие люди плохо обращаются с его девушкой, с которой он давно встречается."
Ресторан суши Га Ду Ри,В планах,0,12,https://doramatv.live/restoran_sushi_ga_du_ri,,"Дорама рассказывает о романе между экспертом по свиданиям Га Ду Ри, которая раздает уникальные советы об отношениях, и её таинственном соседе Чха У Бине (Хёк из VIXX).
Чха У Бину нравится делать всё по-своему. Несмотря на потрясающую внешность, он не замечает, как другие люди видят его, и живет так, как хочет. Он крутой персонаж, но слишком безразличен к вопросам, которые его не касаются."
С нами явно что-то не так,В планах,0,8,https://doramatv.live/s_nami_iavno_chto_to_ne_tak,,"Нао (Хамабэ Минами) встретила Цубаки (Ёкохама Рюсэй) еще в детстве, в кондитерском магазине в японском стиле, где работала ее мать. Однако после одного инцидента мать Нао была обвинена в убийстве и арестована.
Пятнадцать лет спустя Цубаки вновь встречает Нао. Ненавистный Цубаки, который когда-то отравлял жизнь Нао, предлагает ей выйти за него замуж, поскольку он еще не знает, что девушка - его давно потерянный друг детства. Как Нао отреагирует на это неожиданное предложение?"
Скованные судьбой,В планах,0,15,https://doramatv.live/skovannye_sudboi,,"Парамита - единственная наследница главы огромного отеля ""Император"". После выпуска она вместе с подругой отправляется праздновать в отель заклятого врага семьи. Парни сразу окружили обаятельную и симпатичную девушку, что разбудило в её подруге ревность. Она подмешивает Парамите наркотик, после чего девушка просыпается в недвусмысленной обстановке и в спешке покидает отель. Героиня решает продолжить обучение в Нью-Йорке и останавливается в доме своей тёти, где вскоре узнаёт о том, что беременна близнецами. После родов Парамита разрешает тёте усыновить её детей.
Парин - незаконорожденный сын Чатчая, владельца отеля ""Сиримонтра"" , и его любовницы. У его отца есть также наследник от законной жены, который хоть и владеет контрольным пакетом акций, но совершенно бесполезен в бизнесе. Узнав, что Парин является менеджером успешной американской компании, Чатчай решает связаться с брошенным сыном и просит его вернуться в Таиланд. Чатчай предлагает Парину должность помощника главного менеджера в отеле его жены, но с условием - он никому не должен раскрывать свою настоящую личность. Герой соглашается и вылетает в Таиланд. Чтобы разведать обстановку, он отправляется на ту же вечеринку, где оказывается Парамита, и они проводят вместе ночь. После этого Парин всячески пытался найти девушку, но поскольку он даже не знал её имени, ему это так и не удалось.
4 года спустя Парамита возвращается в Таиланд, чтобы помочь в управлении семейным бизнесом в столкновении с главным конкурентом - отелем ""Сиримонтра"". С собой она забирает и своих близнецов, однако выдаёт их за кузенов, а не детей. Парамита становится главным менеджером семейного отеля и начинает открытую конфронтацию с заклятым врагом не только своей семьи, но и себя самой - Парином. Герой же, с другой стороны, рад увидеть девушку, которую он так отчаянно искал все эти годы. Парамита решает отомстить и использует Парина, притворяясь, будто влюблена в него..."
Скрытые чувства,В планах,0,15,https://doramatv.live/skrytye_chuvstva,,"В результате несчастного случая отец Лады умирает. В его смерти она винит Тана. Тан - богатый вдовец, у которого есть дочь. После смерти отца Лады он чувствует себя виноватым и считает своим долгом позаботиться о ней. Узнав, что мачеха хочет отдать её в качестве выплаты долга какому-то бандиту, он решает жениться на ней, чтобы защитить от посягательств мачехи и того самого мужчины. Лада делает всё, чтобы разрушить его жизнь... Смогут ли они ужиться под одной крышей?"
Сцена с поцелуем в Ённам-доне,В планах,0,12,https://doramatv.live/scena_s_poceluem_v_ennam_done,,"Юн Соль с самого детства училась хорошо целоваться, но, вот несчастье, ей уже 18, а свой отработанный навык применить в жизни так и не удалось.
Но все меняется, когда после одной вечеринки она просыпается с четким ощущением, что с кем-то поцеловалась. Вот только она не помнит, с кем.
Тут и начинается настоящее расследование в поиске того самого человека."
"У неба есть солнце, а у меня есть ты",В планах,0,18,https://doramatv.live/u_neba_est_solnce__a_u_menia_est_ty,,"Ремейк лакорна ""У неба есть солнце, а у меня есть ты"". Он вернулся чтобы отомстить...отомстить женщине, разрушившей его семью. Она была в их доме нерадивой служанкой, но с огромными амбициями. Отец По был богатым человеком и владельцем ювелирного бизнеса. Но, к сожалению, поддался соблазну и был полностью очарован ею, забросил семью. По вместе с матерью покидает дом. Сначала им было очень трудно, но потом они встретили знакомого, который женился на матери По, а его вырастил как собственного сына.
После смерти матери По решил наказать мерзавку. Всё бы шло по его плану, но По встретил племянницу отца, Нэн. После того, как она осталась сиротой, отец По взял её к себе и Нэн полюбила его. Поэтому она тяжело перенесла его гибель, а ещё тяжелее ей нести тайну его гибели, ведь виновники - близкие ей люди. С появлением По в жизни Нэн появляются новые тайны и эти тайны не так безобидны, как кажутся на первый взгляд."
Цветовая лихорадка,В планах,0,8,https://doramatv.live/cvetovaia_lihoradka,,"Из-за необычного заболевания, которое называется монохромазией, для Ён У весь мир существует в сером цвете. Бывает, что в школе не особо смышленые ребята дразнят его из-за цветовой слепоты, но ему плевать на это. Он уже привык к чёрно-белому миру. Всё меняется, когда он встречает Ю Хана. Этот парень неожиданно врывается в его жизнь вместе с ""красочным взрывом"". Теперь во время сильных эмоциональных потрясений Ён У испытывает ""цветовую лихорадку"" – необычное явление, во время которого все цвета радуги становятся для него видимыми."
Цветы укажут верный путь,В планах,0,30,https://doramatv.live/memories_of_love,,"История о том, как после 10 лет разлуки вновь расцветают чувства влюбленной пары, подобно цветам.
Казалось бы, такой совершенно очаровательный принц, как Лу Фэй (Уоллес Чун), не сможет поладить с упрямой и строптивой девушкой Синь Чэн (Цзян Шуин). Однако всё изменилось после их встречи. Не смотря на совершенно противоположные характеры они как магнитом притягиваются друг к другу и в конечном итоге влюбляются. Тем не менее сказке приходит конец, и они расходятся.
Прошло 10 лет. Лу Фэй открыл свою компанию за границей, но, из-за чувства незавершенности он решает вернуться и разыскать Синь Чэн, чтобы цветы расцвели вновь. Сможет ли Синь Чэн вновь впустить ту юную любовь? И сможет ли любовь указать верный путь их сердцам?"
Человеческие уроки,В планах,0,10,https://doramatv.live/chelovecheskie_uroki,,"Скромный отличник-старшеклассник Чжи Су живёт без родителей. Чтобы сводить концы с концами и накопить на обучение в хорошем университете, парень ведёт двойную жизнь. Цель Чжи Су - 90 миллионов вон, и он собрал уже больше 60, умудрившись организовать с помощью мобильного приложения службу охраны проституток. Ему удаётся скрывать вторую сторону своей личности, пока однажды одноклассница из богатой семьи не узнаёт его секрет."
Я нашла звезду на улице,В планах,0,10,https://doramatv.live/ia_nashla_zvezdu_na_ulice,,"Комедийная романтическая драма о неловкой девушке Со Ён, которая однажды встречает мировую звезду Кан Джун Хёка."
New Person,,,,,,
